,Code,time
8,AUS,1896-06-29
9,AUT,1896-06-29
5,DEN,1896-06-29
10,FRA,1896-06-29
4,GBR,1896-06-29
2,GER,1896-06-29
1,GRE,1896-06-29
0,HUN,1896-06-29
6,SUI,1896-06-29
7,USA,1896-06-29
3,ZZX,1896-06-29
23,AUS,1900-06-29
26,AUT,1900-06-29
17,BEL,1900-06-29
21,BOH,1900-06-29
25,CAN,1900-06-29
27,CUB,1900-06-29
20,DEN,1900-06-29
29,ESP,1900-06-29
11,FRA,1900-06-29
12,GBR,1900-06-29
15,GER,1900-06-29
24,HUN,1900-06-29
22,IND,1900-06-29
28,ITA,1900-06-29
14,NED,1900-06-29
18,NOR,1900-06-29
19,SUI,1900-06-29
30,SWE,1900-06-29
16,USA,1900-06-29
13,ZZX,1900-06-29
38,AUT,1904-06-29
34,CAN,1904-06-29
40,CUB,1904-06-29
37,GBR,1904-06-29
32,GER,1904-06-29
35,GRE,1904-06-29
39,HUN,1904-06-29
33,SUI,1904-06-29
31,USA,1904-06-29
36,ZZX,1904-06-29
42,ANZ,1908-06-29
57,AUT,1908-06-29
48,BEL,1908-06-29
59,BOH,1908-06-29
49,CAN,1908-06-29
53,DEN,1908-06-29
51,FIN,1908-06-29
47,FRA,1908-06-29
41,GBR,1908-06-29
44,GER,1908-06-29
55,GRE,1908-06-29
43,HUN,1908-06-29
52,ITA,1908-06-29
58,NED,1908-06-29
54,NOR,1908-06-29
56,RSA,1908-06-29
50,RU1,1908-06-29
45,SWE,1908-06-29
46,USA,1908-06-29
74,ANZ,1912-06-29
72,AUT,1912-06-29
65,BEL,1912-06-29
64,CAN,1912-06-29
60,DEN,1912-06-29
66,FIN,1912-06-29
67,FRA,1912-06-29
62,GBR,1912-06-29
61,GER,1912-06-29
75,GRE,1912-06-29
73,HUN,1912-06-29
76,ITA,1912-06-29
77,NED,1912-06-29
69,NOR,1912-06-29
71,RSA,1912-06-29
63,RU1,1912-06-29
68,SWE,1912-06-29
70,USA,1912-06-29
98,AUS,1920-06-29
86,BEL,1920-06-29
96,BRA,1920-06-29
90,CAN,1920-06-29
88,DEN,1920-06-29
89,ESP,1920-06-29
94,EST,1920-06-29
92,FIN,1920-06-29
81,FRA,1920-06-29
79,GBR,1920-06-29
97,GRE,1920-06-29
82,ITA,1920-06-29
95,LUX,1920-06-29
85,NED,1920-06-29
83,NOR,1920-06-29
80,NZL,1920-06-29
93,RSA,1920-06-29
84,SUI,1920-06-29
87,SWE,1920-06-29
91,TCH,1920-06-29
78,USA,1920-06-29
108,ARG,1924-06-29
124,AUS,1924-06-29
114,AUT,1924-06-29
115,BEL,1924-06-29
103,CAN,1924-06-29
113,DEN,1924-06-29
116,EST,1924-06-29
111,FIN,1924-06-29
101,FRA,1924-06-29
104,GBR,1924-06-29
120,HAI,1924-06-29
112,HUN,1924-06-29
102,ITA,1924-06-29
118,JPN,1924-06-29
109,NED,1924-06-29
119,NOR,1924-06-29
123,NZL,1924-06-29
121,POL,1924-06-29
125,POR,1924-06-29
105,ROU,1924-06-29
122,RSA,1924-06-29
99,SUI,1924-06-29
110,SWE,1924-06-29
106,TCH,1924-06-29
117,URU,1924-06-29
100,USA,1924-06-29
107,YUG,1924-06-29
134,ARG,1928-06-29
142,AUS,1928-06-29
140,AUT,1928-06-29
148,BEL,1928-06-29
147,CAN,1928-06-29
157,CHI,1928-06-29
137,DEN,1928-06-29
146,EGY,1928-06-29
154,ESP,1928-06-29
141,EST,1928-06-29
136,FIN,1928-06-29
139,FRA,1928-06-29
131,GBR,1928-06-29
132,GER,1928-06-29
156,HAI,1928-06-29
145,HUN,1928-06-29
133,IND,1928-06-29
152,IRL,1928-06-29
126,ITA,1928-06-29
151,JPN,1928-06-29
128,NED,1928-06-29
144,NOR,1928-06-29
155,NZL,1928-06-29
153,PHI,1928-06-29
149,POL,1928-06-29
150,RSA,1928-06-29
130,SUI,1928-06-29
138,SWE,1928-06-29
129,TCH,1928-06-29
135,URU,1928-06-29
143,USA,1928-06-29
127,YUG,1928-06-29
184,ARG,1932-06-29
178,AUS,1932-06-29
170,AUT,1932-06-29
162,CAN,1932-06-29
174,DEN,1932-06-29
175,ESP,1932-06-29
171,FIN,1932-06-29
169,FRA,1932-06-29
166,GBR,1932-06-29
163,GER,1932-06-29
168,HUN,1932-06-29
159,IND,1932-06-29
180,IRL,1932-06-29
161,ITA,1932-06-29
160,JPN,1932-06-29
183,LAT,1932-06-29
177,MEX,1932-06-29
176,NED,1932-06-29
167,NZL,1932-06-29
181,PHI,1932-06-29
165,POL,1932-06-29
182,RSA,1932-06-29
172,SUI,1932-06-29
164,SWE,1932-06-29
173,TCH,1932-06-29
179,URU,1932-06-29
158,USA,1932-06-29
205,ARG,1936-06-29
211,AUS,1936-06-29
186,AUT,1936-06-29
213,BEL,1936-06-29
204,CAN,1936-06-29
206,DEN,1936-06-29
200,EGY,1936-06-29
202,EST,1936-06-29
194,FIN,1936-06-29
198,FRA,1936-06-29
197,GBR,1936-06-29
185,GER,1936-06-29
192,HUN,1936-06-29
189,IND,1936-06-29
191,ITA,1936-06-29
210,JPN,1936-06-29
208,LAT,1936-06-29
207,MEX,1936-06-29
190,NED,1936-06-29
193,NOR,1936-06-29
212,NZL,1936-06-29
209,PHI,1936-06-29
199,POL,1936-06-29
215,POR,1936-06-29
214,ROU,1936-06-29
216,RSA,1936-06-29
187,SUI,1936-06-29
196,SWE,1936-06-29
188,TCH,1936-06-29
203,TUR,1936-06-29
201,USA,1936-06-29
195,YUG,1936-06-29
238,ARG,1948-06-29
242,AUS,1948-06-29
227,AUT,1948-06-29
229,BEL,1948-06-29
250,BRA,1948-06-29
244,CAN,1948-06-29
240,CUB,1948-06-29
228,DEN,1948-06-29
234,EGY,1948-06-29
249,ESP,1948-06-29
221,FIN,1948-06-29
226,FRA,1948-06-29
223,GBR,1948-06-29
220,HUN,1948-06-29
222,IND,1948-06-29
233,IRI,1948-06-29
225,ITA,1948-06-29
246,JAM,1948-06-29
236,KOR,1948-06-29
